nama_tempat,type_place,alamat,jam_operasional,rating,jumlah_review,telepon,status_telepon,status_website,latitude,longitude,status_aksesibilitas,aksesibilitas
MASJID AT-TAKQWA Pasar Banjar,Tempat Ibadah,"JGHV+6MF, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.3719311,108.5441635,Tidak Tersedia,
Masjid Nurussalaam,Masjid,"JGWM+4FG, Jl. Sumatera, Purwaharja, Kec. Purwaharja, Kota Banjar, Jawa Barat 46331",Buka 24 jam,"4,8",4,,Tidak Ada,Tidak Tersedia,-7.354689,108.5337045,Tidak Tersedia,
Masjid Jami Baitussalam,Masjid,"JGFM+9FM, Jln. Gotong Royong. Lingk. Sukarame, Mekarsari, Banjar, Banjar City, West Java 46321",Buka 24 jam,"4,5",2,,Tidak Ada,Tidak Tersedia,-7.3765465,108.533678,Tidak Tersedia,
Masjid Uswatun Hasanah Situbatu,Masjid,"Jl. Manonjaya - Banjar No.43, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"4,5",45,,Tidak Ada,Tersedia,-7.3866664,108.4880999,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Attaqwa,Masjid,"JGCQ+VMF, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",Buka 24 jam,"5,0",4,,Tidak Ada,Tidak Tersedia,-7.3778042,108.53918,Tidak Tersedia,
Masjid Suhada,Masjid,"JG6Q+MXG, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",Buka 24 jam,"4,8",9,,Tidak Ada,Tidak Tersedia,-7.3883106,108.5399507,Tidak Tersedia,
Masjid Baitul Jannah,Masjid,"JG9R+35J, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",Buka 24 jam,"4,6",247,,Tidak Ada,Tidak Tersedia,-7.3822981,108.5403913,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda
Masjid Nurul Fatimah,Masjid,"JF9Q+M73, Jln. Drajat Galuh, RT.004/RW.001, Lingk. Bojong, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,,,,Tidak Ada,Tidak Tersedia,-7.380866,108.4881854,Tidak Tersedia,
Masjid Nyalindung,Masjid,"Nyalindung, RT07, RW03, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3742323,108.5112514,Tidak Tersedia,
Masjid Subulussalam Al-Musthofa Kota Banjar,Masjid,"HGWV+H85, Dusun Tembungkerta, RT.05/RW.10Desa, Sukamukti, Kec. Pataruman, Kota Banjar, Jawa Barat",Buka 24 jam,,,,Tidak Ada,Tidak Tersedia,-7.403616,108.5433482,Tidak Tersedia,
Pusdai Kota Banjar,Masjid,"JGQM+FFW, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,3",309,,Tidak Ada,Tidak Tersedia,-7.3612611,108.5337112,Tidak Tersedia,
MASJID AL HIKMAH,Masjid,"JGJP+RF8, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,5",2,,Tidak Ada,Tidak Tersedia,-7.3679732,108.5362037,Tidak Tersedia,
Masjid Al Hidayah Katapang,Masjid,"JGQV+95R, Karangpanimbal, Kec. Purwaharja, Kota Banjar, Jawa Barat 46331",Buka 24 jam,"4,5",10,,Tidak Ada,Tidak Tersedia,-7.3615066,108.5428935,Tidak Tersedia,
Masjid Miftahul Hidayah (DKM 8),Tempat Ibadah,"Desa, Neglasari, Kec. Banjar, Kota Banjar, Jawa Barat 46315",Buka 24 jam,"5,0",1,,Tidak Ada,Tidak Tersedia,-7.3799358,108.5024451,Tidak Tersedia,
Masjid At-Taqwa,Masjid,"Pataruman, Kec. Pataruman, Kota Banjar, Jawa Barat 46323",04.00 hingga 23.00,"4,6",53,,Tidak Ada,Tidak Tersedia,-7.3667855,108.5615227,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda
MASJID AL IHSAN 02,Tempat Ibadah,"Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",05.00 hingga 19.00,"5,0",4,"
0851-6298-4975",Ada,Tidak Tersedia,-7.3703028,108.5331191,Tidak Tersedia,
Masjid Baeturrohmahwasalamah,Masjid,"JGMP+RM9, Jl. M. Aliyani, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",04.00 hingga 05.30,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3654592,108.5367234,Tidak Tersedia,
Masjid Nurul Huda,Masjid,"JGJQ+J6W, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,5",4,,Tidak Ada,Tidak Tersedia,-7.3683899,108.5380675,Tidak Tersedia,
Masjid AL-Falah Citatah,Masjid,"JGC6+4P3, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"5,0",2,,Tidak Ada,Tidak Tersedia,-7.3797325,108.5117825,Tidak Tersedia,
Masjid Miftahul Khoir,Masjid,"JGJM+H75, Jln Balokang Road, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"5,0",2,"
0813-1275-8501",Ada,Tidak Tersedia,-7.3686033,108.5332472,Tidak Tersedia,
Masjid Al-Falah Cibonte,Masjid,"JFGR+8P7, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"5,0",4,,Tidak Ada,Tidak Tersedia,-7.3742129,108.4917982,Tidak Tersedia,
Masjid Jami Al-Hikmah,Masjid,"JFFW+WCW, Dusun Cibodas, RT.22/RW.05, Cibeureum, Kec. Banjar, Kota Banjar, Jawa Barat 46313",,"4,7",3,,Tidak Ada,Tidak Tersedia,-7.3751264,108.4960715,Tidak Tersedia,
Masjid DKM Ar-raudhah,Tempat Ibadah,"JGP5+HCF, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,"4,5",2,,Tidak Ada,Tidak Tersedia,-7.3635542,108.5085382,Tidak Tersedia,
Masjid Jami Baiturahmat,Masjid,"Jl. Lapang Gotama, Lingk. Awiluar, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"4,0",1,,Tidak Ada,Tidak Tersedia,-7.3776723,108.4836752,Tidak Tersedia,
Masjid Jamie Nuurulfalaah,Masjid,"JG72+24M, Neglasari, Kec. Banjar, Kota Banjar, Jawa Barat 46315",,"5,0",5,,Tidak Ada,Tidak Tersedia,-7.3874019,108.5003006,Tidak Tersedia,
Masjid Husnul Khotimah,Masjid,"JGHV+834, Gg. Uswatun Hasanah, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"4,0",1,,Tidak Ada,Tidak Tersedia,-7.3717338,108.5427073,Tidak Tersedia,
Masjid Baitul Falah,Masjid,"Jl. Kapten Jamhur No.25, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",Buka 24 jam,"4,5",23,,Tidak Ada,Tidak Tersedia,-7.3787796,108.5377511,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Miftahussalam,Masjid,"HGWR+X5C, Sukamukti, Kec. Pataruman, Kota Banjar, Jawa Barat 46326",04.00 hingga 20.00,"4,5",43,"
0812-8850-2588",Ada,Tidak Tersedia,-7.4025537,108.5403842,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
MASJID ANNUR,Masjid,"Jl. Dipati Ukur No.21, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,8",5,,Tidak Ada,Tidak Tersedia,-7.3664977,108.5282792,Tidak Tersedia,
MASJID AL-MUDZAKARAH,Masjid,"JG8P+63H, Mekarsari, Kec. Banjar, Kota Banjar, Jawa Barat 46321",,"5,0",3,,Tidak Ada,Tidak Tersedia,-7.3844414,108.5352223,Tidak Tersedia,
"Masjid Manbaul Ulum, SMAN 1 Banjar",Masjid,"Jl. K.H. Mustofa No.1, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,8",21,,Tidak Ada,Tidak Tersedia,-7.3718157,108.526758,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Al - Hilal,Masjid,"JG9Q+FJ4, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",,"4,8",4,,Tidak Ada,Tidak Tersedia,-7.3813592,108.539079,Tidak Tersedia,
Masjid Al-Ikhlas,Masjid,"JF8J+PCQ, Jl. Manonjaya - Banjar, Situbatu, Kec. Banjar, Kota Banjar, Jawa Barat 46314",,"5,0",4,,Tidak Ada,Tidak Tersedia,-7.38317,108.481121,Tidak Tersedia,
Masjid Ar Rhadiyah,Masjid,"JGHH+HV7, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,9",22,,Tidak Ada,Tidak Tersedia,-7.3710869,108.5296681,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Al - Mujahidin,Masjid,"Jl. Raya Banjar - Pangandaran No.281, Hegarsari, Kec. Pataruman, Kota Banjar, Jawa Barat 46322",Buka 24 jam,"4,7",148,,Tidak Ada,Tidak Tersedia,-7.3811206,108.5413045,Aksesibilitas Tersedia,Tidak memiliki pintu masuk khusus pengguna kursi roda | Tidak memiliki tempat parkir khusus pengguna kursi roda
Masjid Darul Ulum,Masjid,"JGP4+VRX, Karang Pucung I, Balokang, Kec. Banjar, Kota Banjar, Jawa Barat 46312",,"4,3",26,,Tidak Ada,Tidak Tersedia,-7.3627621,108.5070964,Tidak Tersedia,
Masjid BAITULFALAH,Masjid,"JGPG+24G, Unnamed Road, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311",,"4,7",6,,Tidak Ada,Tidak Tersedia,-7.3649447,108.5253337,Tidak Tersedia,
